Measure,Beat,Form and Phrase,,,,,,
1,4,Exposition,First Subject Group,Theme a,Sentence,Presentation,Basic idea,
2,1,,,,,,,
3,1,,,,,,,
4,1,,,,,,Basic idea,
5,1,,,,,,,
6,1,,,,,Continuation,Fragmentation,
7,1,,,,,,,
8,1,,,,,,Cadence,
9,4,,Transition,Theme a,X,,,
10,1,,,,,,,
11,1,,,,,,,
12,1,,,,X,X,,
13,1,,,,,,,
14,1,,,,,X,,
15,1,,,,,,,
16,1,,,,X,X,,
17,1,,,,,,,
18,1,,,,,X,,
19,1,,,,,,,
20,1,,,,,,,
21,1,,Second Subject Group,Theme b,Sentence,Presentation,Basic idea,
22,1,,,,,,,
23,1,,,,,,Basic idea,
24,1,,,,,,,
25,1,,,,,,Basic idea,
26,1,,,,,,,
27,1,,,,,Continuation,Fragmentation,X
28,1,,,,,,,
29,1,,,,,,,X
30,1,,,,,,,
31,1,,,,,,,X
32,1,,,,,,,
33,1,,,,,,,
34,1,,,,,,Cadence,X
35,1,,,,,,,
36,1,,,,,,,X
37,1,,,,,,,
38,1,,,,,,Cadence,X
39,1,,,,,,,
40,1,,,,,,,X
41,1,,,,,,,
42,1,,Coda,X,X,,,
43,1,,,,,,,
44,1,,,,X,,,
45,1,,,,,,,
46,1,,,X,,,,
47,1,,,,,,,
48,1,,,,X,,,
49,1,,,,,,,
50,1,Development,Introduction,Theme a,X,,,
51,1,,,,,,,
52,1,,,,,,,
53,1,,,,,,,
54,1,,,,X,,,
55,1,,,,,,,
56,1,,,,,,,
57,1,,Body,Theme b,Sentence,Presentation,Basic idea,
58,1,,,,,,,
59,1,,,,,,Basic idea,
60,1,,,,,,,
61,1,,,,,,Basic idea,
62,1,,,,,,,
63,1,,,,,Continuation,Fragmentation,
64,1,,,,,,,
65,1,,,,Sentence,Presentation,Basic idea,
66,1,,,,,,,
67,1,,,,,,Basic idea,
68,1,,,,,,,
69,1,,,,Sentence,Presentation,Basic idea,
70,1,,,,,,,
71,1,,,,,,Basic idea,
72,1,,,,,,,
73,1,,,,,,Basic idea,
74,1,,,,,,,
75,1,,,Linear progression,X,X,,
76,1,,,,,,,
77,1,,,,,X,,
78,1,,,,,,,
79,1,,,,X,X,,
80,1,,,,,,,
81,1,,,,,X,,
82,1,,,,,,,
83,1,,Retransition,X,X,,,
84,1,,,,,,,
85,1,,,,X,,,
86,1,,,,,,,
87,1,,,X,,,,
88,1,,,,,,,
89,1,,,,X,,,
90,1,,,,,,,
91,1,,,X,,,,
92,1,,,,,,,
93,1,,,,X,,,
94,1,,,,,,,
95,1,,,Linear progression,X,X,,
96,1,,,,,,,
97,1,,,,,X,,
98,1,,,,,,,
99,1,,,,X,X,,
100,1,,,,,,,
101,1,,,,,X,,
102,1,,,,,,,
103,1,Recapitulation,First Subject Group,Theme a,Sentence,Presentation,Basic idea,
104,1,,,,,,,
105,1,,,,,,Basic idea,
106,1,,,,,,,
107,1,,,,,Continuation,Fragmentation,
108,1,,,,,,,
109,1,,,,,,Cadence,
110,4,,Transition,Theme a,,,,
111,1,,,,,,,
112,1,,,,,,,
113,1,,,X,X,,,
114,1,,,,,,,
115,1,,,,X,,,
116,1,,,,,,,
117,1,,,X,,,,
118,1,,,,,,,
119,1,,,,X,,,
120,1,,,,,,,
121,1,,Second Subject Group,Theme b,Sentence,Presentation,Basic idea,
122,1,,,,,,,
123,1,,,,,,Basic idea,
124,1,,,,,,,
125,1,,,,,,Basic idea,
126,1,,,,,,,
127,1,,,,,Continuation,Fragmentation,
128,1,,,,,,,
129,1,,,,,,Fragmentation,X
130,1,,,,,,,
131,1,,,,,,,X
132,1,,,,,,,
133,1,,,,,,,
134,1,,,,,,Cadence,X
135,1,,,,,,,
136,1,,,,,,,X
137,1,,,,,,,
138,1,,,,,,Cadence,X
139,1,,,,,,,
140,1,,,,,,,X
141,1,,,,,,,
142,1,Coda,X,X,,,,
143,1,,,,,,,
144,1,,,X,,,,
145,1,,,,,,,
146,1,,X,,,,,
147,1,,,,,,,
148,1,,X,X,,,,
149,1,,,,,,,
150,1,,,X,,,,
151,1,,,,,,,
152,1,,X,,,,,
153,1,,,,,,,
154,1,,,,,,,
