0.0,0.5,a,5,M,0
0.5,1.0,a,5,D7,1
1.0,2.0,a,5,D7,0
2.0,2.5,a,5,D7,1
2.5,5.0,a,5,D7,0
5.0,6.5,a,1,m,0
6.5,9.5,a,5,D7,1
9.5,11.0,a,5,D7,0
11.0,12.5,a,1,m,2
12.5,15.5,F,5,D7,1
15.5,18.5,F,1,M,0
18.5,21.5,d,5/4,D7,1
21.5,23.0,d,5/4,D7,0
23.0,24.0,d,4,m,0
24.0,24.5,d,5,M,0
24.5,26.0,d,4,m,1
26.0,27.5,d,2,d,1
27.5,30.5,d,5,D7,0
30.5,31.0,d,1,m,0
31.0,31.5,F,5,M,1
31.5,32.0,F,5,D7,0
32.0,34.0,F,1,M,0
34.0,34.5,F,5,M,1
34.5,35.0,F,5,D7,0
35.0,36.5,F,1,M,0
36.5,38.0,F,4,M,0
38.0,39.5,F,5,D7,2
39.5,42.5,F,1,M,0
42.5,45.5,F,6,m,1
45.5,47.5,a,1,m,2
47.5,48.5,a,5,D7,0
48.5,50.5,a,1,m,2
50.5,51.5,a,5,D7,0
51.5,53.0,a,1,m,0
53.0,54.5,a,5,D7,1
54.5,56.0,a,5,D7,0
56.0,57.5,a,1,m,0
57.5,60.5,a,5,D7,1
60.5,62.0,a,5,D7,0
62.0,63.5,a,1,m,2
63.5,66.5,F,5,D7,1
66.5,69.5,F,1,M,0
69.5,72.5,d,5/4,D7,1
72.5,74.0,d,5/4,D7,0
74.0,75.0,d,4,m,0
75.0,75.5,d,5,M,0
75.5,77.0,d,4,m,1
77.0,78.5,d,2,d,1
78.5,81.5,d,5,D7,0
81.5,82.0,d,1,m,0
82.0,82.5,F,5,M,1
82.5,83.0,F,5,D7,0
83.0,85.0,F,1,M,0
85.0,85.5,F,5,M,1
85.5,86.0,F,5,D7,0
86.0,87.5,F,1,M,0
87.5,89.0,F,4,M,0
89.0,90.5,F,5,D7,2
90.5,93.5,F,1,M,0
93.5,96.5,F,6,m,1
96.5,98.5,a,1,m,2
98.5,99.5,a,5,D7,0
99.5,101.5,a,1,m,2
101.5,102.5,a,5,D7,0
102.5,104.0,a,1,m,0
104.0,105.5,a,5,D7,1
105.5,107.0,a,5,D7,0
107.0,108.5,a,1,m,0
108.5,111.5,a,5,D7,1
111.5,113.0,a,5,D7,0
113.0,114.5,a,1,m,2
114.5,117.5,a,5,D7,0
117.5,123.5,a,1,m,0
