Measure,Beat,Form,,,,,
1,1,Allegretto,A,Period,Antecedent,X,
2,1,,,,,,
3,1,,,,,X,
4,1,,,,,,
5,1,,,,Consequent,X,
6,1,,,,,,
7,1,,,,,X,
8,1,,,,,,
9,1,,A,Period,Antecedent,X,
10,1,,,,,,
11,1,,,,,X,
12,1,,,,,,
13,1,,,,Consequent,X,
14,1,,,,,,
15,1,,,,,X,
16,1,,,,,,
17,1,,B,X,X,X,
18,1,,,,,,
19,1,,,,X,,
20,1,,,,,,
21,1,,,X,X,,
22,1,,,,,,
23,1,,,,X,,
24,1,,,,,,
25,1,,A,Period,Antedecent,X,
26,1,,,,,,
27,1,,,,,X,
28,1,,,,,,
29,1,,,,,X,
30,1,,,,Consequent expanded,,
31,1,,,,,X,
32,1,,,,,,
33,1,,,,,X,
34,1,,,,,,
35,1,,,,,X,
36,1,,,,,,
37,1,Trio,A,Period,Antecedent,X,
38,1,,,,,,
39,1,,,,,X,
40,1,,,,,,
41,1,,,,Consequent,X,
42,1,,,,,,
43,1,,,,,X,
44,1,,,,,,
45,1,,B,X,X,X,
46,1,,,,,,
47,1,,,,,X,
48,1,,,,,,
49,1,,,,X,X,
50,1,,,,,,
51,1,,,,,X,
52,1,,,,,,
53,1,,,X,X,X,
54,1,,,,,,
55,1,,,,,X,
56,1,,,,,,
57,1,,,,X,X,
58,1,,,,,,
59,1,,,,,X,
60,1,,,,,,
61,1,Allegretto repeat (da capo),,,,,
62,1,,,,,,
63,1,,,,,,
64,1,,,,,,
65,1,,,,,,
66,1,,,,,,
67,1,,,,,,
68,1,,,,,,
69,1,,,,,,
