Measure,Beat,Form and Phrase,,,,,
1,1,A,Theme a,X,X,X,X
2,1,,,,,,
3,1,,,,,,
4,3,,,,,X,X
5,1,,,,,,
6,3,,,,,,X
7,1,,,,,,
8,1,,,X,X,X,
9,1,,,,,,
10,1,,,,,,
11,1,,,,,,
12,3,,,,,X,
13,1,,,,,,
14,3,B,Transition,,Hybrid type III,Compound basic idea,
15,1,,,,,,
16,1,,,,,,
17,1,,,,,,
18,1,,,,,Continuation,Fragmentation
19,1,,,,,,
20,1,,,,,,Cadence
21,3,,Theme b,,X,,
22,1,,,,,,
23,1,,,,,,
24,1,,,,,,
25,3,,,,X(varied repetition of previous phrase),,
26,1,,,,,,
27,1,,,,,,
28,1,,,,,,
29,1,,,,,,
30,3,A,Theme a,X,X,X,X
31,1,,,,,,
32,1,,,,,,
33,1,,,,,,
34,3,,,,,X,X
35,1,,,,,,
36,3,,,,,,X
37,1,,,,,,
38,3,,,X,X,X,X
39,1,,,,,,
40,1,,,,,,
41,1,,,,,,
42,3,,,,,X,X
43,1,,,,,,
44,1,,,,,,X
45,1,,,,,,
46,1,,,,,,
47,1,C,Theme c,,X,X,X
48,1,,,,,,
49,1,,,,,,
50,1,,,,,,
51,1,,,,,,X
52,1,,,,,,
53,1,,,,,,
54,1,,,,,,
55,1,,,,,,X
56,1,,,,,,
57,1,,,,,,
58,1,,,,,X,X
59,1,,,,,,
60,1,,,,,,X
61,1,,,,,,
62,1,,,,,,X
63,1,,,,,,
64,1,,,,,,X
65,1,,,,,,
66,1,,,,X,X,X
67,1,,,,,,
68,1,,,,,,X
69,1,,,,,,
70,1,,,,,,X
71,1,,,,,,
72,1,,,,,,X
73,1,,,,,,
74,1,,,,,,X
75,1,,,,,,
76,1,,,,,X,X
77,1,,,,,,
78,1,,,,,,X
79,1,,,,,,
80,1,,,,,,X
81,1,,,,,,
82,1,,,,,,
83,1,,,,,,
84,1,A,Theme a,X,X,X,X
85,1,,,,,,
86,1,,,,,,
87,3,,,,,X,X
88,1,,,,,,
89,1,,,,,,X
90,1,,,,,,
91,1,B,Transition,,Hybrid type III,Compound basic idea,
92,1,,,,,,
93,1,,,,,,
94,1,,,,,,
95,1,,,,,Continuation,Fragmentation
96,1,,,,,,
97,1,,,,,,Cadence
98,1,,Theme b,,X,,
99,1,,,,,,
100,1,,,,,,
101,1,,,,,,
102,3,,,,X(varied repetition of previous phrase),,
103,1,,,,,,
104,1,,,,,,
105,1,,,,,,
106,3,,transition,,X,,
107,1,,,,,,
108,3,A,Theme a',,X,X,
109,1,,,,,,
110,1,,,,,,
111,1,,,,,,
112,1,,,,,X,
113,1,,,,,,
114,1,,,,,,
115,1,,,,,,
116,1,,,,,,
117,1,,,,,,
118,1,,,,,,
119,1,,,,,,
120,1,,,,,,
121,3,,,,Codetta,X,
122,1,,,,,,
123,1,,,,,,
124,1,,,,,,
125,1,,,,,,
126,1,,,,,,
127,3,,,,,X,
128,1,,,,,,
129,1,,,,,,
130,1,,,,,,
131,1,,,,,,
,,,,,,,
