0,0.0,a,1,m,2
0.0,2.25,a,1,M,0
2.25,3.75,a,5,M,0
3.75,5.25,a,1,m,0
5.25,6.75,a,5,M,0
6.75,9.75,a,1,m7,0
9.75,11.25,a,7,d,1
11.25,12.75,a,1,m,0
12.75,14.25,a,7,d,1
14.25,15.25,a,1,m,0
15.25,15.75,a,5,M,0
15.75,17.25,a,1,m,0
17.25,18.75,a,5,M,1
18.75,20.25,a,7,d,1
20.25,23.25,a,1,m,0
23.25,24.75,a,4,D7,0
24.75,29.25,a,5,M,0
29.25,30.75,a,5,D7,3
30.75,32.25,C,1,M,0
32.25,33.75,C,7,d7,3
33.75,35.25,C,1,M,0
35.25,36.75,C,1,M,2
36.75,38.25,C,6,m7,0
38.25,39.25,e,1,m,2
39.25,39.75,e,5,D7,0
39.75,42.75,e,1,m,0
42.75,44.25,G,7,d,1
44.25,45.75,G,1,M,1
45.75,47.25,G,7,d,1
47.25,48.75,G,1,M,1
48.75,50.25,a,7,d,1
50.25,51.75,a,1,m,1
51.75,53.25,a,7,d,1
53.25,54.75,a,1,m,1
54.75,56.25,d,5,D7,1
56.25,57.75,d,1,m,0
57.75,59.25,d,5/4,D7,1
59.25,60.75,d,4,m,0
60.75,62.25,d,1,m,1
62.25,63.75,d,4,D7,0
63.75,64.75,d,1,m,2
64.75,65.25,d,5,D7,0
65.25,66.0,d,1,m,0
66.0,66.75,a,5,M,0
66.75,72.75,a,5,D7,0
72.75,74.25,a,1,m,0
74.25,75.75,a,5,M,1
75.75,77.25,a,7,d,1
77.25,80.25,a,1,m,0
80.25,81.75,a,4,D7,0
81.75,86.25,a,5,M,0
86.25,87.75,a,5,D7,3
87.75,89.25,F,1,M,2
89.25,90.75,F,5,D7,0
90.75,92.25,F,1,M,0
92.25,93.75,A,+4,Gr+6,1
93.75,95.25,A,1,M,1
95.25,96.75,A,4,M,0
96.75,97.75,A,1,M,2
97.75,98.25,A,5,D7,0
98.25,99.0,A,1,M,0
99.0,102.75,a,1,m,0
102.75,104.25,a,7,d7,3
104.25,105.75,a,1,m,0
105.75,107.25,a,7,d7,3
107.25,110.25,a,1,m,0
110.25,111.75,a,+4,It+6,1
111.75,117.75,a,5,M,0
117.75,119.25,F,1,M,2
119.25,120.75,F,5,D7,0
120.75,122.25,F,1,M,0
122.25,123.75,F,7/6,d7,1
123.75,125.25,g,1,m,2
125.25,126.75,g,5,D7,0
126.75,128.25,g,1,m,0
128.25,129.75,A,+4,It+6,1
129.75,131.25,A,1,M,1
131.25,132.75,A,4,M,0
132.75,134.25,A,1,M,2
134.25,135.75,A,5,D7,0
135.75,138.75,A,1,M,0
138.75,140.25,a,1,M,0
140.25,141.75,a,5,M,0
141.75,143.25,a,1,m,0
143.25,144.75,a,5,M,0
144.75,147.75,a,1,m7,0
147.75,149.25,a,7,d,1
149.25,150.75,a,1,m,0
150.75,152.25,a,7,d,1
152.25,153.75,a,1,m,0
