0.0,12.0,g,1,m,0
12.0,15.0,g,7/5,d7,3
15.0,18.0,g,1,m,0
18.0,21.0,g,6,M,0
21.0,22.0,g,5/3,D7,3
22.0,23.0,g,3,M,1
23.0,24.0,g,4,m,0
24.0,33.0,g,5,M,0
33.0,36.0,g,-5,M,0
36.0,39.0,g,4,M,2
39.0,42.0,g,7,d7,0
42.0,43.0,g,7,d7,2
43.0,44.0,g,1,m,1
44.0,45.0,g,2,h7,2
45.0,48.0,g,1,m,2
48.0,51.0,g,5,D7,0
51.0,57.0,g,1,m,0
57.0,59.0,d,7,d7,2
59.0,60.0,d,1,m,1
60.0,63.0,d,6,M,0
63.0,65.0,d,-2,M7,0
65.0,66.0,d,7,d,1
66.0,69.0,d,1,m,1
69.0,71.0,d,+4,It+6,1
71.0,72.0,d,1,m,1
72.0,73.0,d,+4,It+6,1
73.0,75.0,d,4,m,1
75.0,78.0,d,1,m,2
78.0,80.0,D-,1,M,2
80.0,81.0,D-,1,M7,2
81.0,84.0,D-,1,M,0
84.0,86.0,D-,3,m,1
86.0,87.0,d,5,D7,3
87.0,90.0,d,1,m,1
90.0,92.0,d,4,m7,0
92.0,93.0,d,5,M,0
93.0,99.0,d,1,M,0
99.0,102.0,d,6,M,1
102.0,105.0,g,5,D7,0
105.0,108.0,g,1,m,0
108.0,111.0,g,7/5,d7,3
111.0,114.0,g,1,m,0
114.0,117.0,g,6,M,0
117.0,118.0,g,5/3,D7,3
118.0,119.0,g,3,M,1
119.0,120.0,g,4,m,0
120.0,129.0,g,5,M,0
129.0,132.0,g,-5,M,0
132.0,135.0,g,4,M,2
135.0,138.0,g,7,d7,0
138.0,139.0,g,7,d7,2
139.0,140.0,g,1,m,1
140.0,141.0,g,2,h7,2
141.0,144.0,g,1,m,2
144.0,147.0,g,5,D7,0
147.0,156.0,g,1,m,0
