0.0,4.0,b,1,m,0
4.0,5.0,b,6,M,1
5.0,6.0,b,7,d,0
6.0,8.0,b,1,m,0
8.0,9.0,b,2,h7,3
9.0,10.0,b,7,d,0
10.0,17.0,b,1,m,0
17.0,18.0,b,2,h7,3
18.0,25.0,b,1,m,0
25.0,26.0,b,2,h7,3
26.0,28.0,b,1,m,0
28.0,30.0,b,5,D7,1
30.0,30.5,b,6,M,1
30.5,31.0,b,1,m,0
31.0,31.5,b,7/5,d7,3
31.5,32.0,b,1,m,1
32.0,33.5,b,4,m,0
33.5,34.0,b,7/5,d,0
34.0,36.0,b,5,M,0
36.0,38.0,b,5,D7,1
38.0,38.5,b,6,M,1
38.5,39.0,b,1,m,0
39.0,39.5,b,7/5,d7,3
39.5,40.0,b,1,m,1
40.0,41.5,b,4,m,0
41.5,42.0,b,7/5,d,0
42.0,46.0,b,5,D7,0
46.0,48.0,a,7,d7,0
48.0,50.0,a,1,M,0
50.0,52.0,a,7,d7,0
52.0,54.5,a,1,M,0
54.5,55.0,a,5,D7,1
55.0,55.5,a,5/4,D7,3
55.5,56.0,a,5/2,D7,0
56.0,57.0,c,5,M,0
57.0,57.5,c,1,m,2
57.5,58.0,c,7/5,d7,0
58.0,60.0,c,5,D7,0
60.0,61.5,C,1,M,2
61.5,62.0,C,5,D7,0
62.0,63.5,C,1,M,2
63.5,64.0,b,+4,Gr+6,1
64.0,65.5,b,1,m,2
65.5,66.0,b,5,D7,0
66.0,66.5,b,1,m,0
66.5,70.0,b,+4,Gr+6,1
70.0,72.0,g,7,d7,0
72.0,74.0,g,1,M,0
74.0,76.0,a,7,d7,0
76.0,78.5,a,1,M,0
78.5,79.0,a,5,D7,1
79.0,79.5,a,5/4,D7,3
79.5,80.0,a,5/2,D7,0
80.0,81.0,c,5,M,0
81.0,81.5,c,1,m,2
81.5,82.0,c,7/5,d7,0
82.0,84.0,c,5,D7,0
84.0,85.5,C,1,M,2
85.5,86.0,C,5,D7,0
86.0,87.5,C,1,M,2
87.5,88.0,b,+4,Gr+6,1
88.0,89.5,b,1,m,2
89.5,90.0,b,5,D7,0
90.0,96.0,b,1,m,0
