0.0,1.0,B-,1,M,0
1.0,2.5,B-,4,M,0
2.5,3.0,B-,5,D7,0
3.0,4.0,B-,1,M,0
4.0,5.5,B-,4,M,0
5.5,6.0,B-,5,D7,0
6.0,7.0,B-,1,M,0
7.0,9.0,B-,6,m,0
9.0,10.0,c,7,d7,3
10.0,10.5,c,1,m,0
10.5,11.5,c,4,m,0
11.5,12.0,c,5,M,0
12.0,13.0,c,1,m,0
13.0,14.5,c,4,m,0
14.5,15.0,c,5,M,0
15.0,16.0,c,1,m,0
16.0,17.5,c,1,m,1
17.5,18.0,B-,2,d,1
18.0,20.5,B-,5,D7,3
20.5,21.0,B-,1,M,1
21.0,22.5,B-,5,D7,2
22.5,23.0,B-,1,M,0
23.0,23.5,B-,2,m,1
23.5,24.0,B-,5/5,D7,1
24.0,26.0,B-,5,M,0
26.0,26.75,B-,5,D7,3
26.75,27.0,B-,1,M,1
27.0,28.5,B-,5,D7,2
28.5,29.0,B-,1,M,0
29.0,29.75,B-,5,D7,3
29.75,31.0,c,5,D7,2
31.0,32.0,c,1,m,0
32.0,34.0,c,5,D7,1
34.0,35.0,c,1,m,0
35.0,37.0,B-,5,M,1
37.0,38.0,B-,1,M,0
38.0,38.5,B-,4,M7,0
38.5,39.0,B-,7/5,h7,0
39.0,40.0,B-,1,M,2
40.0,42.0,B-,5,D7,0
42.0,43.0,B-,3/6,a,2
43.0,44.0,B-,6,m,0
44.0,44.5,B-,2,m7,1
44.5,45.0,B-,7/3,d,1
45.0,46.0,B-,1,M,2
46.0,48.0,B-,5,D7,0
48.0,49.0,B-,1,M,0
49.0,50.5,B-,4,M,0
50.5,51.0,B-,5,D7,0
51.0,52.0,B-,1,M,0
52.0,53.5,B-,4,M,0
53.5,54.0,B-,5,D7,0
54.0,55.0,B-,1,M,0
55.0,57.0,B-,6,m,0
57.0,58.0,c,7,d7,3
58.0,58.5,c,1,m,0
58.5,59.5,c,4,m,0
59.5,60.0,c,5,M,0
60.0,61.0,c,1,m,0
61.0,62.5,c,4,m,0
62.5,63.0,c,5,M,0
63.0,64.0,c,1,m,0
64.0,65.5,c,1,m,1
65.5,66.0,B-,2,d,1
66.0,68.5,B-,5,D7,3
68.5,69.0,B-,1,M,1
69.0,70.5,B-,5,D7,2
70.5,71.0,B-,1,M,0
71.0,71.5,B-,2,m,1
71.5,72.0,B-,5/5,D7,1
72.0,74.0,B-,5,M,0
74.0,74.75,B-,5,D7,3
74.75,75.0,B-,1,M,1
75.0,76.5,B-,5,D7,2
76.5,77.0,B-,1,M,0
77.0,77.75,B-,5,D7,3
77.75,79.0,c,5,D7,2
79.0,80.0,c,1,m,0
80.0,82.0,c,5,D7,1
82.0,83.0,c,1,m,0
83.0,85.0,B-,5,M,1
85.0,86.0,B-,1,M,0
86.0,86.5,B-,4,M7,0
86.5,87.0,B-,7/5,h7,0
87.0,88.0,B-,1,M,2
88.0,90.0,B-,5,D7,0
90.0,91.0,B-,3/6,a,2
91.0,92.0,B-,6,m,0
92.0,92.5,B-,2,m7,1
92.5,93.0,B-,7/3,d,1
93.0,94.0,B-,1,M,2
94.0,96.0,B-,5,D7,0
96.0,97.0,B-,1,M,0
97.0,98.5,B-,4,M,0
98.5,99.0,B-,5,D7,0
99.0,100.0,B-,1,M,0
100.0,101.5,B-,4,M,0
101.5,102.0,B-,5,D7,0
102.0,108.0,B-,1,M,0
